from,to,weight
apprehension,pride,1.4
apprehension,dominance,1.3636363636363635
amazement,joy,2.625
amazement,trust,0.8181818181818182
amazement,fear,3.0
amazement,surprise,6.666666666666667
amazement,sadness,1.7
amazement,disgust,2.6923076923076925
amazement,anger,2.2222222222222223
amazement,anticipation,2.0
amazement,ecstasy,2.7777777777777777
amazement,serenity,0.3333333333333333
amazement,admiration,4.461538461538462
amazement,acceptance,1.875
amazement,terror,2.7
amazement,apprehension,1.875
amazement,distraction,3.7
amazement,grief,2.4444444444444446
amazement,pensiveness,1.0
amazement,loathing,1.818181818181818
amazement,boredom,0.3636363636363636
amazement,rage,1.818181818181818
amazement,annoyance,1.6666666666666667
amazement,vigilance,2.4166666666666665
amazement,interest,3.0
amazement,optimism,1.1428571428571428
amazement,hope,2.636363636363636
amazement,anxiety,2.363636363636364
amazement,love,2.5
amazement,guilt,1.7272727272727273
amazement,delight,3.272727272727273
amazement,submission,1.4375
amazement,curiosity,3.5
amazement,sentimentality,1.0
amazement,awe,3.4166666666666665
amazement,despair,1.6666666666666667
amazement,shame,2.142857142857143
amazement,disappointment,1.7777777777777777
amazement,unbelief,1.6666666666666667
amazement,outrage,1.7272727272727273
amazement,remorse,0.375
amazement,envy,2.25
amazement,pessimism,1.0
amazement,contempt,1.125
amazement,cynicism,1.4
amazement,morbidness,2.142857142857143
amazement,aggressiveness,1.7777777777777777
amazement,pride,2.7777777777777777
amazement,dominance,1.5714285714285714
distraction,joy,2.0
distraction,trust,0.7272727272727273
distraction,fear,4.909090909090909
distraction,surprise,4.4
distraction,sadness,3.1818181818181817
distraction,disgust,3.5454545454545454
distraction,anger,3.375
distraction,anticipation,1.2857142857142858
distraction,ecstasy,2.111111111111111
distraction,serenity,0.4444444444444444
distraction,admiration,2.0
distraction,acceptance,0.5
distraction,terror,4.454545454545454
distraction,apprehension,4.625
distraction,amazement,4.222222222222222
distraction,grief,3.636363636363636
distraction,pensiveness,3.909090909090909
distraction,loathing,2.7777777777777777
distraction,boredom,0.25
distraction,rage,2.466666666666667
distraction,annoyance,3.466666666666667
distraction,vigilance,3.3076923076923075
distraction,interest,2.5555555555555554
distraction,optimism,0.375
distraction,hope,0.4
distraction,anxiety,6.142857142857143
distraction,love,1.4666666666666666
distraction,guilt,3.4444444444444446
distraction,delight,1.9090909090909092
distraction,submission,2.5
distraction,curiosity,1.2142857142857142
distraction,sentimentality,3.125
distraction,awe,3.111111111111111
distraction,despair,4.0
distraction,shame,3.3846153846153846
distraction,disappointment,3.5555555555555554
distraction,unbelief,3.5
distraction,outrage,3.111111111111111
distraction,remorse,2.769230769230769
distraction,envy,3.272727272727273
distraction,pessimism,3.1666666666666665
distraction,contempt,2.111111111111111
distraction,cynicism,0.7777777777777778
distraction,morbidness,3.0
distraction,aggressiveness,1.25
distraction,pride,0.5714285714285714
distraction,dominance,1.25
grief,joy,0.1111111111111111
grief,trust,0.6666666666666666
grief,fear,4.222222222222222
grief,surprise,1.7692307692307692
grief,sadness,6.75
grief,disgust,3.7777777777777777
grief,anger,4.571428571428571
grief,anticipation,0.25
